title,genre,director,actors,description,image,rating,bag_of_words
The Shawshank Redemption,drama,frank darabont,"[,timrobbins,morganfreeman,bobgunton,williamsadler,]","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",9.3,dramafrank darabont timrobbins morganfreeman bobgunton williamsadler Over the course of several years  two convicts form a friendship  seeking consolation and  eventually  redemption through basic compassion.
The Godfather,crime drama,francis ford coppola,"[,marlonbrando,alpacino,jamescaan,dianekeaton,]","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",9.2,crime dramafrancis ford coppola marlonbrando alpacino jamescaan dianekeaton Don Vito Corleone  head of a mafia family  decides to hand over his empire to his youngest son Michael. However  his decision unintentionally puts the lives of his loved ones in grave danger.
The Dark Knight,action crime drama,christopher nolan,"[,christianbale,heathledger,aaroneckhart,michaelcaine,]","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",9.0,action crime dramachristopher nolan christianbale heathledger aaroneckhart michaelcaine When the menace known as the Joker wreaks havoc and chaos on the people of Gotham  Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
Schindler's List,biography drama history,oskar schindler,"[,stevenspielberg,liamneeson,ralphfiennes,benkingsley,carolinegoodall,]","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",9.0,biography drama historyoskar schindler stevenspielberg liamneeson ralphfiennes benkingsley carolinegoodall In German-occupied Poland during World War II  industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
The Godfather Part II,crime drama,francis ford coppola,"[,alpacino,robertdeniro,robertduvall,dianekeaton,]","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",9.0,crime dramafrancis ford coppola alpacino robertdeniro robertduvall dianekeaton The early life and career of Vito Corleone in 1920s New York City is portrayed  while his son  Michael  expands and tightens his grip on the family crime syndicate.
12 Angry Men,crime drama,sidney lumet,"[,henryfonda,leej.cobb,martinbalsam,johnfiedler,]",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",9.0,crime dramasidney lumet henryfonda leej.cobb martinbalsam johnfiedler The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Lord of the Rings: The Return of the King,action adventure drama,peter jackson,"[,elijahwood,viggomortensen,ianmckellen,orlandobloom,]",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",9.0,action adventure dramapeter jackson elijahwood viggomortensen ianmckellen orlandobloom Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction,crime drama,quentin tarantino,"[,johntravolta,umathurman,samuell.jackson,brucewillis,]","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",8.9,crime dramaquentin tarantino johntravolta umathurman samuell.jackson brucewillis The lives of two mob hitmen  a boxer  a gangster and his wife  and a pair of diner bandits intertwine in four tales of violence and redemption.
Inception,action adventure sci-fi,christopher nolan,"[,leonardodicaprio,josephgordon-levitt,elliotpage,kenwatanabe,]","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,action adventure sci-fichristopher nolan leonardodicaprio josephgordon-levitt elliotpage kenwatanabe A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.  but his tragic past may doom the project and his team to disaster.
Fight Club,drama,david fincher,"[,bradpitt,edwardnorton,meatloaf,zachgrenier,]",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,dramadavid fincher bradpitt edwardnorton meatloaf zachgrenier An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Lord of the Rings: The Fellowship of the Ring,action adventure drama,peter jackson,"[,elijahwood,ianmckellen,orlandobloom,seanbean,]",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,action adventure dramapeter jackson elijahwood ianmckellen orlandobloom seanbean A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Forrest Gump,drama romance,robert zemeckis,"[,tomhanks,robinwright,garysinise,sallyfield,]","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",8.8,drama romancerobert zemeckis tomhanks robinwright garysinise sallyfield The presidencies of Kennedy and Johnson  the Vietnam War  the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75  whose only desire is to be reunited with his childhood sweetheart.
"Il buono, il brutto, il cattivo",adventure western,sergio leone,"[,clinteastwood,eliwallach,leevancleef,aldogiuffrè,]",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,adventure westernsergio leone clinteastwood eliwallach leevancleef aldogiuffrè A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
The Lord of the Rings: The Two Towers,action adventure drama,peter jackson,"[,elijahwood,ianmckellen,viggomortensen,orlandobloom,]","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,action adventure dramapeter jackson elijahwood ianmckellen viggomortensen orlandobloom While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum  the divided fellowship makes a stand against Sauron's new ally  Saruman  and his hordes of Isengard.
Jai Bhim,crime drama mystery,t.j. gnanavel,"[,suriya,lijomoljose,manikandank.,rajishavijayan,]","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_UY98_CR5,0,67,98_AL_.jpg",8.8,crime drama mysteryt.j. gnanavel suriya lijomoljose manikandank. rajishavijayan When a tribal man is arrested for a case of alleged theft  his wife turns to a human-rights lawyer to help bring justice.
777 Charlie,adventure comedy drama,kiranraj k,"[,rakshitshetty,charlie,sangeethasringeri,]",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,"https://m.media-amazon.com/images/M/MV5BMDhhMjBlMWYtMDVlMy00ZjM3LTg3MTUtZDg0NjA0YzcxOGY4XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,adventure comedy dramakiranraj k rakshitshetty charlie sangeethasringeri Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
Rocketry: The Nambi Effect,biography drama,madhavan,"[,madhavan,simran,rajitkapoor,]","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","https://m.media-amazon.com/images/M/MV5BNTk2MjUxMjEtZDU5OC00MzYxLTkwMWYtMGM5YWQ0MWMyN2I1XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_UX67_CR0,0,67,98_AL_.jpg",8.8,biography dramamadhavan madhavan simran rajitkapoor Based on the life of Indian Space Research Organization scientist Nambi Narayanan  who was framed for being a spy and arrested in 1994. Though free  he continues to fight for justice against the officials who falsely implicated him.
Interstellar,adventure drama sci-fi,christopher nolan,"[,matthewmcconaughey,annehathaway,jessicachastain,mackenziefoy,]","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",8.7,adventure drama sci-fichristopher nolan matthewmcconaughey annehathaway jessicachastain mackenziefoy When Earth becomes uninhabitable in the future  a farmer and ex-NASA pilot  Joseph Cooper  is tasked to pilot a spacecraft  along with a team of researchers  to find a new planet for humans.
GoodFellas,biography crime drama,henry hill,"[,martinscorsese,robertdeniro,rayliotta,joepesci,lorrainebracco,]","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",8.7,biography crime dramahenry hill martinscorsese robertdeniro rayliotta joepesci lorrainebracco The story of Henry Hill and his life in the mafia  covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.
The Matrix,action sci-fi,lana wachowski,"[,lillywachowski,keanureeves,laurencefishburne,carrie-annemoss,hugoweaving,]","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",8.7,action sci-filana wachowski lillywachowski keanureeves laurencefishburne carrie-annemoss hugoweaving When a beautiful stranger leads computer hacker Neo to a forbidding underworld  he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
One Flew Over the Cuckoo's Nest,drama,milos forman,"[,jacknicholson,louisefletcher,michaelberryman,peterbrocco,]","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",8.7,dramamilos forman jacknicholson louisefletcher michaelberryman peterbrocco In the Fall of 1963  a Korean War veteran and criminal pleads insanity and is admitted to a mental institution  where he rallies up the scared patients against the tyrannical nurse.
